path,reason,tracked/untracked,recoverable_from_git,duplicate_of,referenced_by,scientific_risk
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/warnings.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/analyze_picard_speed_drift_scan.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/__pycache__/elastic_anisotropy_three_cases.cpython-312.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/__pycache__/plot_kirsch_comparison.cpython-312.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
tmp/pdfs/aq_gp_caseA_unitcell_closure/page-1.png,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp/pdfs/aq_gp_caseA_unitcell_closure/page-2.png,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp/pdfs/aq_gp_caseA_unitcell_closure/page-3.png,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp/pdfs/aq_gp_closure/page-1.png,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp/pdfs/aq_gp_closure/page-2.png,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp/pdfs/aq_gp_molar_volume_closure/page-1.png,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp/pdfs/aq_gp_molar_volume_closure/page-2.png,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_runtime_4grid_T380.json,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_runtime_4grid_T380.params,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_runtime_4grid_T380_input.json,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_runtime_4grid_T400.json,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_runtime_4grid_T400.params,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_runtime_4grid_T400_input.json,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_synced_seed_summaries/seed_summary.csv,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
tmp_synced_seed_summaries/seed_summary.json,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=yes; report=yes,none
tools/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/misc/.tmp_step28_postprocess.py,archived temporary postprocess script; ignored by policy and not referenced,ignored,no (temporary helper),,none found,low
